primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
1628378_Total_2017-18,1628378,Total,1356,620,2,1.0619469026548674,1.1994333901295633,1.0039228352935383,0.31190429027004113,2017-18,2017-12-11T07:02:47.169,1628378,"Donovan Mitchell"
1628379_Total_2017-18,1628379,Total,626,289,2,1.0591054313099042,1.1848437832900922,0.9868551434864758,0.30859124458797926,2017-18,2017-12-11T07:02:47.169,1628379,"Luke Kennard"
1628381_Total_2017-18,1628381,Total,855,389,2,1.023391812865497,1.1574988986102013,1.018950087482681,0.3449304884781593,2017-18,2017-12-11T07:02:47.169,1628381,"John Collins"
1628382_Total_2017-18,1628382,Total,587,254,3,0.969335604770017,1.1449080223770616,0.9522293332192274,0.3040550677273895,2017-18,2017-12-11T07:02:47.169,1628382,"Justin Jackson"
1628384_Total_2017-18,1628384,Total,819,404,2,1.1245421245421245,1.182543307086016,1.0660333847358756,0.294467059658615,2017-18,2017-12-11T07:02:47.169,1628384,"OG Anunoby"
1628386_Total_2017-18,1628386,Total,490,205,2,0.9612244897959183,1.1713094584965613,1.009644125700929,0.2698092632018615,2017-18,2017-12-11T07:02:47.169,1628386,"Jarrett Allen"
1628388_Total_2017-18,1628388,Total,462,208,2,0.9761904761904762,1.1075675301527632,0.9527684648658533,0.34426906593163437,2017-18,2017-12-11T07:02:47.169,1628388,"TJ Leaf"
1628389_Total_2017-18,1628389,Total,419,181,2,0.9785202863961814,1.1589711124806312,0.9928951037271248,0.2623608851874188,2017-18,2017-12-11T07:02:47.169,1628389,"Bam Adebayo"
1628390_Total_2017-18,1628390,Total,189,70,2,0.8624338624338624,1.1602391662387974,0.9220800206110632,0.3673308438878991,2017-18,2017-12-11T07:02:47.169,1628390,"Terrance Ferguson"
1628393_Total_2017-18,1628393,Total,399,179,2,0.9799498746867168,1.1170131123790803,0.9903947752436206,0.38563949924524576,2017-18,2017-12-11T07:02:47.169,1628393,"Jawun Evans"
1628395_Total_2017-18,1628395,Total,416,218,2,1.2091346153846154,1.1997648892891515,1.1397699996936437,0.30103336548371823,2017-18,2017-12-11T07:02:47.169,1628395,"Jordan Bell"
1628398_Total_2017-18,1628398,Total,1308,615,2,1.0519877675840978,1.154192209877841,0.9917899573758411,0.2988351693142831,2017-18,2017-12-11T07:02:47.169,1628398,"Kyle Kuzma"
1628400_Total_2017-18,1628400,Total,652,266,3,0.9386503067484663,1.1680472484652045,0.9607269759180506,0.33287377520481465,2017-18,2017-12-11T07:02:47.169,1628400,"Semi Ojeleye"
1628403_Total_2017-18,1628403,Total,220,85,2,0.8954545454545455,1.1650116163007564,0.942545227890207,0.3403956522848886,2017-18,2017-12-11T07:02:47.169,1628403,"Caleb Swanigan"
1628404_Total_2017-18,1628404,Total,496,236,2,1.0625,1.1527163746223876,1.014051684234068,0.3164631306604172,2017-18,2017-12-11T07:02:47.169,1628404,"Josh Hart"
1628407_Total_2017-18,1628407,Total,786,323,2,0.9363867684478372,1.157352499091422,0.9450606219676886,0.33059217618180975,2017-18,2017-12-11T07:02:47.169,1628407,"Dwayne Bacon"
1628411_Total_2017-18,1628411,Total,151,58,2,0.8741721854304636,1.1410732473345613,0.8976285325079928,0.40074945667210937,2017-18,2017-12-11T07:02:47.169,1628411,"Wes Iwundu"
1628412_Total_2017-18,1628412,Total,560,274,3,1.1017857142857144,1.1658827237377751,0.9967982294110245,0.3740979756747284,2017-18,2017-12-11T07:02:47.169,1628412,"Frank Mason"
1628414_Total_2017-18,1628414,Total,672,294,2,0.9717261904761905,1.1355083280731946,1.004263513768524,0.3474631180786494,2017-18,2017-12-11T07:02:47.169,1628414,"Sindarius Thornwell"
1628415_Total_2017-18,1628415,Total,1207,537,2,1.007456503728252,1.1631360956580883,1.0136069276705635,0.25690878656881133,2017-18,2017-12-11T07:02:47.169,1628415,"Dillon Brooks"
1628422_Total_2017-18,1628422,Total,295,131,2,0.9593220338983051,1.1008653982697987,0.9792561360663553,0.3784958926678131,2017-18,2017-12-11T07:02:47.169,1628422,"Damyean Dotson"
1628455_Total_2017-18,1628455,Total,1150,495,3,0.9591304347826087,1.13715095186813,0.9762513145536584,0.29901816587439767,2017-18,2017-12-11T07:02:47.169,1628455,"Mike James"
1628463_Total_2017-18,1628463,Total,396,189,2,1.1111111111111112,1.2072080560883545,1.0004810835093787,0.37390827431395574,2017-18,2017-12-11T07:02:47.169,1628463,"Tyler Cavanaugh"
1628464_Total_2017-18,1628464,Total,549,228,2,0.9562841530054644,1.17266282666819,0.9593319205433768,0.3267883919810554,2017-18,2017-12-11T07:02:47.169,1628464,"Daniel Theis"
1628467_Total_2017-18,1628467,Total,648,282,3,1.0123456790123457,1.194057582420395,0.9810110145063113,0.356530372079903,2017-18,2017-12-11T07:02:47.169,1628467,"Maxi Kleber"
1628469_Total_2017-18,1628469,Total,296,126,2,0.9763513513513513,1.172365447041618,0.9182493942910526,0.3308096739987994,2017-18,2017-12-11T07:02:47.169,1628469,"Antonio Blakeney"
1628492_Total_2017-18,1628492,Total,128,56,2,1.046875,1.2302145074640438,0.9789610156946408,0.41032997664295484,2017-18,2017-12-11T07:02:47.169,1628492,"Gian Clavell"
1713_Total_2017-18,1713,Total,371,171,3,1.0404312668463611,1.1636840038898768,0.9783342704948237,0.3343666033421154,2017-18,2017-12-11T07:02:47.169,1713,"Vince Carter"
1717_Total_2017-18,1717,Total,1222,565,3,1.0679214402618658,1.1937379301480653,1.0098026921420031,0.26675121703364874,2017-18,2017-12-11T07:02:47.169,1717,"Dirk Nowitzki"
1891_Total_2017-18,1891,Total,180,80,3,1,1.1547005383792515,1.0069754261622745,0.2970342541095705,2017-18,2017-12-11T07:02:47.169,1891,"Jason Terry"
1938_Total_2017-18,1938,Total,790,358,3,1.0265822784810126,1.1662130492074128,1.0329433904998317,0.24210369374671062,2017-18,2017-12-11T07:02:47.169,1938,"Manu Ginobili"
200746_Total_2017-18,200746,Total,1532,705,3,1.0306788511749347,1.1532557200687417,1.015594892097464,0.25008145010686034,2017-18,2017-12-11T07:02:47.169,200746,"LaMarcus Aldridge"
200752_Total_2017-18,200752,Total,1046,470,3,0.9961759082217974,1.1368941891638638,1.0177691745784974,0.24616405046445367,2017-18,2017-12-11T07:02:47.169,200752,"Rudy Gay"
200755_Total_2017-18,200755,Total,1463,669,2,1.0389610389610389,1.1711907526401844,1.0240698444880423,0.265238814049435,2017-18,2017-12-11T07:02:47.169,200755,"JJ Redick"
200757_Total_2017-18,200757,Total,910,413,2,1.0395604395604396,1.1806944427861878,0.9947844210976338,0.29697154834687306,2017-18,2017-12-11T07:02:47.169,200757,"Thabo Sefolosha"
200765_Total_2017-18,200765,Total,607,299,2,1.115321252059308,1.173518563707938,1.070307315273426,0.2191429741487554,2017-18,2017-12-11T07:02:47.169,200765,"Rajon Rondo"
